,longitude,latitude
0,4.845,43.325
1,4.83,43.325
2,4.815,43.325
3,4.8,43.325
4,4.785,43.325
5,4.77,43.325
6,4.755,43.325
7,4.74,43.325
8,4.725,43.325
9,4.71,43.325
10,4.695,43.325
11,4.68,43.325
12,4.665,43.325
13,4.65,43.325
14,4.635,43.325
15,4.62,43.325
16,4.605,43.325
17,4.59,43.325
18,4.575,43.325
19,4.56,43.325
20,4.545,43.325
21,4.53,43.325
22,4.515,43.325
23,4.5,43.325
24,4.485,43.325
25,4.47,43.325
26,4.455,43.325
27,4.44,43.325
28,4.425,43.325
29,4.41,43.325
30,4.395,43.325
31,4.38,43.325
32,4.365,43.325
33,4.35,43.325
34,4.335,43.325
35,4.32,43.325
36,4.305,43.325
37,4.29,43.325
38,4.275,43.325
39,4.26,43.325
40,4.245,43.325
41,4.23,43.325
42,4.215,43.325
43,4.2,43.325
44,4.185,43.325
45,4.17,43.325
46,4.155,43.325
47,4.14,43.325
48,4.125,43.325
49,4.11,43.325
50,4.845,43.325
51,4.83,43.305
52,4.815,43.305
53,4.8,43.305
54,4.785,43.305
55,4.77,43.285
56,4.755,43.285
57,4.74,43.285
58,4.725,43.285
59,4.71,43.265
60,4.695,43.265
61,4.68,43.265
62,4.665,43.265
63,4.65,43.245003
64,4.635,43.245003
65,4.62,43.245003
66,4.605,43.245003
67,4.59,43.225
68,4.575,43.225
69,4.56,43.225
70,4.545,43.225
71,4.53,43.205
72,4.515,43.205
73,4.5,43.205
74,4.485,43.205
75,4.47,43.184998
76,4.455,43.184998
77,4.44,43.184998
78,4.425,43.184998
79,4.41,43.165
80,4.395,43.165
81,4.38,43.165
82,4.365,43.165
83,4.35,43.145
84,4.335,43.145
85,4.32,43.145
86,4.305,43.145
87,4.29,43.125
88,4.275,43.125
89,4.26,43.125
90,4.245,43.125
91,4.23,43.105
92,4.215,43.105
93,4.2,43.105
94,4.185,43.105
95,4.17,43.085
96,4.155,43.085
97,4.14,43.085
98,4.125,43.085
99,4.11,43.065002
100,4.845,43.325
101,4.83,43.305
102,4.815,43.305
103,4.8,43.285
104,4.785,43.285
105,4.77,43.265
106,4.755,43.265
107,4.74,43.245003
108,4.725,43.245003
109,4.71,43.225
110,4.695,43.225
111,4.68,43.205
112,4.665,43.205
113,4.65,43.184998
114,4.635,43.184998
115,4.62,43.165
116,4.605,43.165
117,4.59,43.145
118,4.575,43.145
119,4.56,43.125
120,4.545,43.125
121,4.53,43.105
122,4.515,43.105
123,4.5,43.085
124,4.485,43.085
125,4.47,43.065002
126,4.455,43.065002
127,4.44,43.045
128,4.425,43.045
129,4.41,43.025
130,4.395,43.025
131,4.38,43.004997
132,4.365,43.004997
133,4.35,42.985
134,4.335,42.985
135,4.32,42.965
136,4.305,42.965
137,4.29,42.945
138,4.275,42.945
139,4.26,42.925
140,4.245,42.925
141,4.23,42.905
142,4.215,42.905
143,4.2,42.885002
144,4.185,42.885002
145,4.17,42.864998
146,4.155,42.864998
147,4.14,42.845
148,4.125,42.845
149,4.11,42.825
150,4.845,43.325
151,4.83,43.305
152,4.815,43.285
153,4.8,43.265
154,4.785,43.265
155,4.77,43.245003
156,4.755,43.225
157,4.74,43.205
158,4.725,43.205
159,4.71,43.184998
160,4.695,43.165
161,4.68,43.145
162,4.665,43.145
163,4.65,43.125
164,4.635,43.105
165,4.62,43.085
166,4.605,43.085
167,4.59,43.065002
168,4.575,43.045
169,4.56,43.025
170,4.545,43.025
171,4.53,43.004997
172,4.515,42.985
173,4.5,42.965
174,4.485,42.965
175,4.47,42.945
176,4.455,42.925
177,4.44,42.905
178,4.425,42.905
179,4.41,42.885002
180,4.395,42.864998
181,4.38,42.845
182,4.365,42.845
183,4.35,42.825
184,4.335,42.805
185,4.32,42.785
186,4.305,42.785
187,4.29,42.765
188,4.275,42.745003
189,4.26,42.725
190,4.245,42.725
191,4.23,42.705
192,4.215,42.684998
193,4.2,42.665
194,4.185,42.665
195,4.17,42.645
196,4.155,42.625
197,4.14,42.605
198,4.125,42.605
199,4.11,42.585
200,4.845,43.325
201,4.83,43.305
202,4.815,43.285
203,4.8,43.265
204,4.785,43.245003
205,4.77,43.225
206,4.755,43.205
207,4.74,43.184998
208,4.725,43.165
209,4.71,43.145
210,4.695,43.125
211,4.68,43.105
212,4.665,43.085
213,4.65,43.065002
214,4.635,43.045
215,4.62,43.025
216,4.605,43.004997
217,4.59,42.985
218,4.575,42.965
219,4.56,42.945
220,4.545,42.925
221,4.53,42.905
222,4.515,42.885002
223,4.5,42.864998
224,4.485,42.845
225,4.47,42.825
226,4.455,42.805
227,4.44,42.785
228,4.425,42.765
229,4.41,42.745003
230,4.395,42.725
231,4.38,42.705
232,4.365,42.684998
233,4.35,42.665
234,4.335,42.645
235,4.32,42.625
236,4.305,42.605
237,4.29,42.585
238,4.275,42.565002
239,4.26,42.545
240,4.245,42.525
241,4.23,42.504997
242,4.215,42.485
243,4.2,42.465
244,4.185,42.445
245,4.17,42.425
246,4.155,42.405
247,4.14,42.385002
248,4.125,42.364998
249,4.11,42.345
250,4.845,43.325
251,4.83,43.305
252,4.815,43.285
253,4.8,43.265
254,4.8,43.245003
255,4.785,43.225
256,4.77,43.205
257,4.755,43.184998
258,4.755,43.165
259,4.74,43.145
260,4.725,43.125
261,4.71,43.105
262,4.71,43.085
263,4.695,43.065002
264,4.68,43.045
265,4.665,43.025
266,4.665,43.004997
267,4.65,42.985
268,4.635,42.965
269,4.62,42.945
270,4.62,42.925
271,4.605,42.905
272,4.59,42.885002
273,4.575,42.864998
274,4.575,42.845
275,4.56,42.825
276,4.545,42.805
277,4.53,42.785
278,4.53,42.765
279,4.515,42.745003
280,4.5,42.725
281,4.485,42.705
282,4.485,42.684998
283,4.47,42.665
284,4.455,42.645
285,4.44,42.625
286,4.44,42.605
287,4.425,42.585
288,4.41,42.565002
289,4.395,42.545
290,4.395,42.525
291,4.38,42.504997
292,4.365,42.485
293,4.35,42.465
294,4.35,42.445
295,4.335,42.425
296,4.32,42.405
297,4.305,42.385002
298,4.305,42.364998
299,4.29,42.345
300,4.845,43.325
301,4.83,43.305
302,4.83,43.285
303,4.815,43.265
304,4.815,43.245003
305,4.8,43.225
306,4.8,43.205
307,4.785,43.184998
308,4.785,43.165
309,4.77,43.145
310,4.77,43.125
311,4.755,43.105
312,4.755,43.085
313,4.74,43.065002
314,4.74,43.045
315,4.725,43.025
316,4.725,43.004997
317,4.71,42.985
318,4.71,42.965
319,4.695,42.945
320,4.695,42.925
321,4.68,42.905
322,4.68,42.885002
323,4.665,42.864998
324,4.665,42.845
325,4.65,42.825
326,4.65,42.805
327,4.635,42.785
328,4.635,42.765
329,4.62,42.745003
330,4.62,42.725
331,4.605,42.705
332,4.605,42.684998
333,4.59,42.665
334,4.59,42.645
335,4.575,42.625
336,4.575,42.605
337,4.56,42.585
338,4.56,42.565002
339,4.545,42.545
340,4.545,42.525
341,4.53,42.504997
342,4.53,42.485
343,4.515,42.465
344,4.515,42.445
345,4.5,42.425
346,4.5,42.405
347,4.485,42.385002
348,4.485,42.364998
349,4.47,42.345
350,4.845,43.325
351,4.83,43.305
352,4.83,43.285
353,4.83,43.265
354,4.83,43.245003
355,4.815,43.225
356,4.815,43.205
357,4.815,43.184998
358,4.815,43.165
359,4.8,43.145
360,4.8,43.125
361,4.8,43.105
362,4.8,43.085
363,4.785,43.065002
364,4.785,43.045
365,4.785,43.025
366,4.785,43.004997
367,4.77,42.985
368,4.77,42.965
369,4.77,42.945
370,4.77,42.925
371,4.755,42.905
372,4.755,42.885002
373,4.755,42.864998
374,4.755,42.845
375,4.74,42.825
376,4.74,42.805
377,4.74,42.785
378,4.74,42.765
379,4.725,42.745003
380,4.725,42.725
381,4.725,42.705
382,4.725,42.684998
383,4.71,42.665
384,4.71,42.645
385,4.71,42.625
386,4.71,42.605
387,4.695,42.585
388,4.695,42.565002
389,4.695,42.545
390,4.695,42.525
391,4.68,42.504997
392,4.68,42.485
393,4.68,42.465
394,4.68,42.445
395,4.665,42.425
396,4.665,42.405
397,4.665,42.385002
398,4.665,42.364998
399,4.65,42.345
400,4.845,43.325
401,4.845,43.305
402,4.845,43.285
403,4.845,43.265
404,4.845,43.245003
405,4.845,43.225
406,4.845,43.205
407,4.845,43.184998
408,4.845,43.165
409,4.845,43.145
410,4.845,43.125
411,4.845,43.105
412,4.845,43.085
413,4.845,43.065002
414,4.845,43.045
415,4.845,43.025
416,4.845,43.004997
417,4.845,42.985
418,4.845,42.965
419,4.845,42.945
420,4.845,42.925
421,4.845,42.905
422,4.845,42.885002
423,4.845,42.864998
424,4.845,42.845
425,4.845,42.825
426,4.845,42.805
427,4.845,42.785
428,4.845,42.765
429,4.845,42.745003
430,4.845,42.725
431,4.845,42.705
432,4.845,42.684998
433,4.845,42.665
434,4.845,42.645
435,4.845,42.625
436,4.845,42.605
437,4.845,42.585
438,4.845,42.565002
439,4.845,42.545
440,4.845,42.525
441,4.845,42.504997
442,4.845,42.485
443,4.845,42.465
444,4.845,42.445
445,4.845,42.425
446,4.845,42.405
447,4.845,42.385002
448,4.845,42.364998
449,4.845,42.345
450,4.845,43.325
451,4.845,43.305
452,4.845,43.285
453,4.845,43.265
454,4.86,43.245003
455,4.86,43.225
456,4.86,43.205
457,4.86,43.184998
458,4.875,43.165
459,4.875,43.145
460,4.875,43.125
461,4.875,43.105
462,4.89,43.085
463,4.89,43.065002
464,4.89,43.045
465,4.89,43.025
466,4.905,43.004997
467,4.905,42.985
468,4.905,42.965
469,4.905,42.945
470,4.92,42.925
471,4.92,42.905
472,4.92,42.885002
473,4.92,42.864998
474,4.935,42.845
475,4.935,42.825
476,4.935,42.805
477,4.935,42.785
