,longitude,latitude
0,4.845,43.32
1,4.83,43.32
2,4.815,43.32
3,4.8,43.32
4,4.785,43.32
5,4.77,43.32
6,4.755,43.32
7,4.74,43.32
8,4.725,43.32
9,4.71,43.32
10,4.695,43.32
11,4.845,43.32
12,4.83,43.31
13,4.815,43.31
14,4.8,43.31
15,4.785,43.31
16,4.77,43.3
17,4.755,43.3
18,4.74,43.3
19,4.725,43.3
20,4.845,43.32
21,4.83,43.31
22,4.815,43.31
23,4.8,43.3
24,4.845,43.32
25,4.83,43.31
26,4.815,43.3
27,4.845,43.32
28,4.83,43.31
29,4.815,43.3
30,4.8,43.29
31,4.785,43.28
32,4.77,43.27
33,4.755,43.26
34,4.74,43.25
35,4.725,43.24
36,4.845,43.32
37,4.83,43.31
38,4.815,43.3
39,4.8,43.29
40,4.8,43.28
41,4.785,43.27
42,4.77,43.26
43,4.755,43.25
44,4.755,43.24
45,4.74,43.23
46,4.845,43.32
47,4.83,43.31
48,4.83,43.3
49,4.815,43.29
50,4.815,43.28
51,4.8,43.27
52,4.8,43.26
53,4.785,43.25
54,4.785,43.24
55,4.77,43.23
56,4.77,43.22
57,4.755,43.21
58,4.755,43.2
59,4.845,43.32
60,4.83,43.31
61,4.83,43.3
62,4.83,43.29
63,4.83,43.28
64,4.815,43.27
65,4.815,43.26
66,4.815,43.25
67,4.815,43.24
68,4.8,43.23
69,4.8,43.22
70,4.8,43.21
71,4.8,43.2
72,4.785,43.19
73,4.785,43.18
74,4.785,43.17
75,4.785,43.16
76,4.77,43.14
77,4.77,43.13
78,4.77,43.12
79,4.755,43.11
80,4.755,43.1
81,4.755,43.09
82,4.755,43.08
83,4.845,43.32
84,4.845,43.31
85,4.845,43.3
86,4.845,43.29
87,4.845,43.28
88,4.845,43.27
89,4.845,43.26
90,4.845,43.25
91,4.845,43.24
92,4.845,43.23
93,4.845,43.22
94,4.845,43.21
95,4.845,43.2
96,4.845,43.19
97,4.845,43.18
98,4.845,43.17
99,4.845,43.16
100,4.845,43.15
101,4.845,43.14
102,4.845,43.13
103,4.845,43.12
104,4.845,43.11
105,4.845,43.32
106,4.845,43.31
107,4.845,43.3
108,4.845,43.29
109,4.86,43.28
110,4.86,43.27
111,4.86,43.26
112,4.875,43.24
113,4.875,43.23
114,4.875,43.22
115,4.875,43.21
116,4.89,43.2
117,4.89,43.19
118,4.89,43.18
119,4.89,43.17
120,4.905,43.16
121,4.905,43.15
122,4.905,43.14
123,4.905,43.13
124,4.92,43.12
125,4.92,43.11
126,4.92,43.1
127,4.845,43.32
128,4.845,43.31
129,4.86,43.3
130,4.86,43.29
131,4.875,43.27
132,4.89,43.26
133,4.89,43.25
134,4.905,43.24
135,4.905,43.23
136,4.92,43.22
137,4.92,43.21
138,4.935,43.2
139,4.935,43.19
140,4.95,43.18
141,4.95,43.17
142,4.845,43.32
143,4.845,43.31
144,4.86,43.3
145,4.89,43.27
146,4.905,43.26
147,4.92,43.25
148,4.935,43.24
149,4.935,43.23
150,4.95,43.22
151,4.965,43.21
152,4.845,43.32
153,4.86,43.31
154,4.875,43.3
155,4.905,43.28
156,4.92,43.27
157,4.935,43.26
158,4.95,43.25
159,4.965,43.24
160,4.845,43.32
161,4.86,43.31
162,4.875,43.3
163,4.905,43.29
164,4.92,43.28
165,4.935,43.27
166,4.95,43.26
167,4.845,43.32
168,4.86,43.31
169,4.875,43.31
170,4.89,43.3
171,4.905,43.3
172,4.92,43.29
173,4.935,43.29
174,4.95,43.28
175,4.845,43.32
176,4.86,43.31
177,4.875,43.31
178,4.89,43.31
179,4.905,43.31
180,4.92,43.3
181,4.935,43.3
182,4.845,43.32
183,4.86,43.32
184,4.875,43.32
185,4.89,43.32
186,4.905,43.32
187,4.92,43.32
188,4.935,43.32
