,lat,lon,analysed_spim,plume
7,49.16,-1.5,,False
8,49.16,-1.485,,False
9,49.16,-1.47,,False
10,49.16,-1.455,,False
11,49.16,-1.44,,False
12,49.16,-1.425,,False
13,49.16,-1.41,,False
14,49.16,-1.395,,False
15,49.16,-1.38,,False
16,49.16,-1.365,,False
17,49.16,-1.35,,False
18,49.16,-1.335,,False
19,49.16,-1.32,,False
20,49.16,-1.305,,False
21,49.16,-1.29,,False
22,49.16,-1.275,,False
23,49.16,-1.26,,False
24,49.16,-1.245,,False
25,49.16,-1.23,,False
26,49.16,-1.215,,False
27,49.16,-1.2,,False
28,49.16,-1.185,,False
29,49.16,-1.17,,False
30,49.16,-1.155,,False
31,49.16,-1.14,,False
32,49.16,-1.125,,False
33,49.16,-1.11,,False
34,49.16,-1.095,,False
35,49.16,-1.08,,False
36,49.16,-1.065,,False
37,49.16,-1.05,,False
38,49.16,-1.035,,False
39,49.16,-1.02,,False
40,49.16,-1.005,,False
41,49.16,-0.99,,False
42,49.16,-0.975,,False
43,49.16,-0.96,,False
44,49.16,-0.945,,False
45,49.16,-0.93,,False
46,49.16,-0.915,,False
47,49.16,-0.9,,False
48,49.16,-0.885,,False
49,49.16,-0.87,,False
50,49.16,-0.855,,False
51,49.16,-0.84,,False
52,49.16,-0.825,,False
53,49.16,-0.81,,False
54,49.16,-0.795,,False
55,49.16,-0.78,,False
56,49.16,-0.765,,False
57,49.16,-0.75,,False
58,49.16,-0.735,,False
59,49.16,-0.72,,False
60,49.16,-0.705,,False
61,49.16,-0.69,,False
62,49.16,-0.675,,False
63,49.16,-0.66,,False
64,49.16,-0.645,,False
65,49.16,-0.63,,False
66,49.16,-0.615,,False
67,49.16,-0.6,,False
68,49.16,-0.585,,False
69,49.16,-0.57,,False
70,49.16,-0.555,,False
71,49.16,-0.54,,False
72,49.16,-0.525,,False
73,49.16,-0.51,,False
74,49.16,-0.495,,False
75,49.16,-0.48,,False
76,49.16,-0.465,,False
77,49.16,-0.45,,False
78,49.16,-0.435,,False
79,49.16,-0.42,,False
80,49.16,-0.405,,False
81,49.16,-0.39,,False
82,49.16,-0.375,,False
83,49.16,-0.36,,False
84,49.16,-0.345,,False
85,49.16,-0.33,,False
86,49.16,-0.315,,False
87,49.16,-0.3,,False
88,49.16,-0.285,,False
89,49.16,-0.27,,False
90,49.16,-0.255,,False
91,49.16,-0.24,,False
92,49.16,-0.225,,False
93,49.16,-0.21,,False
94,49.16,-0.195,,False
95,49.16,-0.18,,False
96,49.16,-0.165,,False
97,49.16,-0.15,,False
98,49.16,-0.135,,False
99,49.16,-0.12,,False
100,49.16,-0.105,,False
101,49.16,-0.09,,False
102,49.16,-0.075,,False
103,49.16,-0.06,,False
104,49.16,-0.045,,False
105,49.16,-0.03,,False
106,49.16,-0.015,,False
107,49.16,0.0,,False
108,49.16,0.015,,False
109,49.16,0.03,,False
110,49.16,0.045,,False
111,49.16,0.06,,False
112,49.16,0.075,,False
113,49.16,0.09,,False
114,49.16,0.105,,False
115,49.16,0.12,,False
116,49.16,0.135,,False
117,49.16,0.15,,False
118,49.16,0.165,,False
119,49.16,0.18,,False
120,49.16,0.195,,False
121,49.16,0.21,,False
122,49.16,0.225,,False
123,49.16,0.24,,False
124,49.16,0.255,,False
125,49.16,0.27,,False
126,49.16,0.285,,False
127,49.16,0.3,,False
128,49.16,0.315,,False
129,49.16,0.33,,False
130,49.16,0.345,,False
131,49.16,0.36,,False
132,49.16,0.375,,False
133,49.16,0.39,,False
134,49.16,0.405,,False
135,49.16,0.42,,False
136,49.16,0.435,,False
137,49.16,0.45,,False
138,49.16,0.465,,False
139,49.16,0.48,,False
140,49.16,0.495,,False
141,49.16,0.51,,False
142,49.16,0.525,,False
143,49.16,0.54,,False
144,49.16,0.555,,False
145,49.16,0.57,,False
146,49.16,0.585,,False
147,49.16,0.6,,False
148,49.16,0.615,,False
149,49.16,0.63,,False
150,49.16,0.645,,False
151,49.16,0.66,,False
152,49.16,0.675,,False
153,49.16,0.69,,False
154,49.16,0.705,,False
155,49.16,0.72,,False
156,49.16,0.735,,False
157,49.16,0.75,,False
158,49.16,0.765,,False
159,49.16,0.78,,False
160,49.16,0.795,,False
161,49.16,0.81,,False
162,49.16,0.825,,False
163,49.16,0.84,,False
164,49.16,0.855,,False
165,49.16,0.87,,False
166,49.16,0.885,,False
167,49.16,0.9,,False
168,49.16,0.915,,False
169,49.16,0.93,,False
170,49.16,0.945,,False
171,49.16,0.96,,False
172,49.16,0.975,,False
173,49.16,0.99,,False
174,49.16,1.005,,False
175,49.16,1.02,,False
176,49.16,1.035,,False
177,49.16,1.05,,False
178,49.16,1.065,,False
179,49.16,1.08,,False
180,49.16,1.095,,False
181,49.16,1.11,,False
182,49.16,1.125,,False
183,49.16,1.14,,False
184,49.16,1.155,,False
185,49.16,1.17,,False
186,49.16,1.185,,False
187,49.16,1.2,,False
188,49.16,1.215,,False
189,49.16,1.23,,False
190,49.16,1.245,,False
191,49.16,1.26,,False
192,49.16,1.275,,False
193,49.16,1.29,,False
194,49.16,1.305,,False
195,49.16,1.32,,False
196,49.16,1.335,,False
197,49.16,1.35,,False
198,49.16,1.365,,False
