name,ID,projection,lon,lat,elevation,date_start,date_end
Rhone Tarascon,V720 0010 02,EPSG:2154,832 983 ,6 300 048,-0.017,1998-01-01,2025-12-31
Rhone Fourques,V730 0002 02,EPSG:2154,"830 167,121","6 289 058,003",0,1998-01-01,2022-12-31
Rhone Arles,V730 0003 02,EPSG:2154,"830 751,726 ","6 287 976,311",0.001,1998-01-01,2022-12-31
Seine Vernon,H320 0001 01,EPSG:2154,589 645,6 889 556,9.16,1998-01-01,2006-08-16
Seine Vernon,H320 0001 04,EPSG:2154,589 645,6 889 556,9.165,2006-08-16,2025-12-31
Seine Poses,H322 0110 03,EPSG:2154,"571 640,355 ","6 913 968,823",NA,1998-01-01,2006-03-09
Orne,I362 1010 01,EPSG:2154,452 812 ,6 895 280,2,1998-01-01,2025-12-31
Loire,L800 0010 20,EPSG:2154,"467 589,397","6 689 300,775",24.12,1998-01-01,2025-12-31
Lay Bretonniere,N351 1610,EPSG:2154,371 066 ,6 605 312,3,2003-12-24,2025-12-31
Lay Mareuil,N330 1610 10,EPSG:2154,376 762 ,6 612 601,4.485,1998-01-01,2025-12-31
Vilaine Rieux,J930 0611 01,EPSG:2154,314 920,6 732 475,0.293,2002-08-08,2025-12-31
Vilaine Guipry,J770 0610 02,EPSG:2154,337 694 ,6 755 338,4.003,1998-01-05,2025-03-02
Garonne,O909 0010 01,EPSG:2154,473 959,6 381 917,12.92,1998-01-01,2025-12-31
Garonne,O900 0010 02,EPSG:2154,485 054,6 369 217,19.15,1998-01-01,2025-12-31
Dordogne,P555 0010 01,EPSG:2154,501 125,6 419 881,18.48,1998-01-01,2025-12-31
Charente Saint-Savinien ,R523 0010 01,EPSG:2154,413 745,6 537 937,NA,2002-10-29,2005-07-10
Charente Saintes,R520 0010 01,EPSG:2154,417 893 ,6 522 872,0.117,2013-11-20,2025-12-31
Charente Chaniers,R423 0010 01,EPSG:2154,425 479,6 517 961,-0.316,2004-03-31,2025-12-31
Charente Cognac,R314 0010 01,EPSG:2154,440 137 ,6 515 505,0.128,2013-12-30,2025-12-11
Charente Vindelle,R222 0010 01,EPSG:2154,474 562 ,6 515 853,0.031,1998-01-01,2020-11-29
Sevre niortaise Marans,N611 0610 01,EPSG:2154,395 646,6 587 720,0.094,2004-07-08,2025-12-31
Sèvre niortaise Niort,N430 0622 01,EPSG:2154,429 577 ,6 587 215,4.279,2000-04-01,2025-12-31
 Sèvre niortaise Azay,N401 0610 01,EPSG:2154,450 818 ,6 592 516,47.911,1998-01-01,2025-12-31
