zone,source,site,lon,lat,dist,cell_numbers
BAY_OF_BISCAY,SOMLIT,Antioche,-1.3200000524520874,46.06999969482422,1.82,2322844
BAY_OF_BISCAY,SOMLIT,Antioche,-1.3049999475479126,46.06999969482422,1.6,2322845
BAY_OF_BISCAY,SOMLIT,Antioche,-1.3200000524520874,46.08000183105469,1.02,2321177
BAY_OF_BISCAY,SOMLIT,Antioche,-1.3049999475479126,46.08000183105469,0.53,2321178
BAY_OF_BISCAY,SOMLIT,Antioche,-1.3200000524520874,46.09000015258789,1.11,2319510
BAY_OF_BISCAY,SOMLIT,Antioche,-1.3049999475479126,46.09000015258789,0.69,2319511
BAY_OF_BISCAY,SOMLIT,Bouee 13,-1.2450000047683716,44.619998931884766,1.6,2564564
BAY_OF_BISCAY,SOMLIT,Bouee 13,-1.2300000190734863,44.619998931884766,1.61,2564565
BAY_OF_BISCAY,SOMLIT,Bouee 13,-1.2450000047683716,44.630001068115234,0.69,2562897
BAY_OF_BISCAY,SOMLIT,Bouee 13,-1.2300000190734863,44.630001068115234,0.72,2562898
BAY_OF_BISCAY,SOMLIT,Bouee 13,-1.2450000047683716,44.63999938964844,0.93,2561230
BAY_OF_BISCAY,SOMLIT,Bouee 13,-1.2300000190734863,44.63999938964844,0.95,2561231
BAY_OF_BISCAY,SOMLIT,Comprian,-1.1100000143051147,44.66999816894531,1.11,2556238
BAY_OF_BISCAY,SOMLIT,Comprian,-1.0950000286102295,44.66999816894531,1.07,2556239
BAY_OF_BISCAY,SOMLIT,Comprian,-1.1100000143051147,44.68000030517578,0.66,2554571
BAY_OF_BISCAY,SOMLIT,Comprian,-1.0950000286102295,44.68000030517578,0.59,2554572
BAY_OF_BISCAY,SOMLIT,Comprian,-1.1100000143051147,44.689998626708984,1.46,2552904
BAY_OF_BISCAY,SOMLIT,Comprian,-1.0950000286102295,44.689998626708984,1.43,2552905
BAY_OF_BISCAY,SOMLIT,Eyrac,-1.1549999713897705,44.650001525878906,1.83,2559569
BAY_OF_BISCAY,SOMLIT,Eyrac,-1.1399999856948853,44.650001525878906,1.59,2559570
BAY_OF_BISCAY,SOMLIT,Eyrac,-1.1549999713897705,44.65999984741211,1.04,2557902
BAY_OF_BISCAY,SOMLIT,Eyrac,-1.1399999856948853,44.65999984741211,0.52,2557903
BAY_OF_BISCAY,SOMLIT,Eyrac,-1.1549999713897705,44.66999816894531,1.15,2556235
BAY_OF_BISCAY,SOMLIT,Eyrac,-1.1399999856948853,44.66999816894531,0.7,2556236
BAY_OF_BISCAY,SOMLIT,pk 30,-0.6449999809265137,45.060001373291016,1.06,2491256
BAY_OF_BISCAY,SOMLIT,pk 30,-0.6299999952316284,45.060001373291016,1.13,2491257
BAY_OF_BISCAY,SOMLIT,pk 30,-0.6449999809265137,45.06999969482422,0.56,2489589
BAY_OF_BISCAY,SOMLIT,pk 30,-0.6299999952316284,45.06999969482422,0.68,2489590
