zone,source,site,lon,lat,dist,cell_numbers
BAY_OF_SEINE,REPHY,Antifer ponton pétrolier,0.13500000536441803,49.66999816894531,0.53,1722821
BAY_OF_SEINE,REPHY,Blonville,0.014999999664723873,49.34000015258789,0.38,1777824
BAY_OF_SEINE,REPHY,Ouistreham 1 mille,-0.23999999463558197,49.310001373291016,0.23,1782808
BAY_OF_SEINE,REPHY,Ouistreham 2 milles,-0.23999999463558197,49.33000183105469,0.41,1779474
BAY_OF_SEINE,REPHY,Ouistreham 3 milles,-0.23999999463558197,49.34000015258789,0.5,1777807
BAY_OF_SEINE,REPHY,Ouistreham 4 milles,-0.23999999463558197,49.36000061035156,0.4,1774473
BAY_OF_SEINE,REPHY,Ouistreham 6 milles,-0.23999999463558197,49.38999938964844,0.67,1769472
BAY_OF_SEINE,REPHY,Cabourg,-0.11999999731779099,49.29999923706055,0.28,1784483
BAY_OF_SEINE,REPHY,Franceville parking,-0.19499999284744263,49.290000915527344,0.48,1786145
BAY_OF_SEINE,REPHY,Ouistreham enrochement ouest,-0.2549999952316284,49.290000915527344,0.76,1786141
BAY_OF_SEINE,REPHY,Bouée de Lion 3 milles,-0.27000001072883606,49.349998474121094,0.44,1776138
BAY_OF_SEINE,REPHY,Hermanville (a),-0.30000001192092896,49.29999923706055,0.22,1784471
BAY_OF_SEINE,REPHY,Bouée de Luc 2 milles,-0.3149999976158142,49.349998474121094,0.65,1776135
BAY_OF_SEINE,REPHY,Villerville (a),0.11999999731779099,49.40999984741211,0.27,1766162
BAY_OF_SEINE,REPHY,St Aubin,-0.38999998569488525,49.34000015258789,0.2,1777797
BAY_OF_SEINE,REPHY,Graye sur mer,-0.47999998927116394,49.349998474121094,0.46,1776124
BAY_OF_SEINE,REPHY,Bernières (a),-0.41999998688697815,49.34000015258789,0.52,1777795
BAY_OF_SEINE,REPHY,St Aubin les Essarts,-0.38999998569488525,49.36000061035156,0.48,1774463
BAY_OF_SEINE,REPHY,Luc sur mer,-0.3449999988079071,49.31999969482422,0.26,1781134
BAY_OF_SEINE,REPHY,Bouée des Essarts 3 milles,-0.36000001430511475,49.380001068115234,0.29,1771131
BAY_OF_SEINE,REPHY,Port en Bessin,-0.75,49.349998474121094,0.29,1776106
BAY_OF_SEINE,REPHY,Roches de Grandcamp,-1.0499999523162842,49.38999938964844,0.5,1769418
BAY_OF_SEINE,REPHY,Ste Marie du Mont nord,-1.1549999713897705,49.40999984741211,0.45,1766077
BAY_OF_SEINE,REPHY,Grandcamp prise eau base,-1.0950000286102295,49.380001068115234,0.45,1771082
BAY_OF_SEINE,REPHY,Ravenoville (a),-1.215000033378601,49.45000076293945,0.43,1759405
BAY_OF_SEINE,REPHY,St Vaast la Hougue,-1.2899999618530273,49.56999969482422,0.29,1739396
BAY_OF_SEINE,REPHY,Gatteville phare,-1.2599999904632568,49.70000076293945,0.57,1717727
BAY_OF_SEINE,REPHY,Barfleur gisement,-1.2450000047683716,49.709999084472656,0.59,1716061
BAY_OF_SEINE,REPHY,Moulard,-1.2450000047683716,49.650001525878906,0.69,1726063
BAY_OF_SEINE,REPHY,Reville (a),-1.215000033378601,49.61000061035156,0.28,1732733
SOUTHERN_BRITTANY,REPHY,Tronoen,-4.349999904632568,47.849998474121094,0.3,2025916
SOUTHERN_BRITTANY,REPHY,Treguennec Nord,-4.364999771118164,47.880001068115234,0.58,2020914
SOUTHERN_BRITTANY,REPHY,La Torche,-4.349999904632568,47.84000015258789,0.21,2027583
SOUTHERN_BRITTANY,REPHY,Les Glénan,-3.990000009536743,47.72999954223633,0.44,2045944
SOUTHERN_BRITTANY,REPHY,Moutons,-4.034999847412109,47.779998779296875,0.53,2037606
SOUTHERN_BRITTANY,REPHY,Le Letty,-4.079999923706055,47.869998931884766,0.51,2022600
SOUTHERN_BRITTANY,REPHY,Ile Chevalier,-4.170000076293945,47.86000061035156,0.72,2024261
SOUTHERN_BRITTANY,REPHY,Penfoulic,-3.9749999046325684,47.88999938964844,0.59,2019273
SOUTHERN_BRITTANY,REPHY,Moulin Mer,-3.884999990463257,47.86000061035156,0.3,2024280
SOUTHERN_BRITTANY,REPHY,Le Scoré,-3.9600000381469727,47.880001068115234,0.66,2020941
SOUTHERN_BRITTANY,REPHY,Kerist,-3.9749999046325684,47.900001525878906,0.33,2017606
SOUTHERN_BRITTANY,REPHY,Beg Meil,-3.990000009536743,47.849998474121094,0.37,2025940
SOUTHERN_BRITTANY,REPHY,Le Henant,-3.75,47.84000015258789,0.67,2027623
SOUTHERN_BRITTANY,REPHY,L'Ile,-3.7049999237060547,47.81999969482422,0.48,2030960
SOUTHERN_BRITTANY,REPHY,Trévignon,-3.825000047683716,47.79999923706055,0.68,2034286
SOUTHERN_BRITTANY,REPHY,Poulguin,-3.75,47.810001373291016,0.52,2032624
SOUTHERN_BRITTANY,REPHY,Merrien port,-3.6449999809265137,47.779998779296875,0.33,2037632
SOUTHERN_BRITTANY,REPHY,Ile Kerner,-3.315000057220459,47.70000076293945,0.31,2050990
SOUTHERN_BRITTANY,REPHY,Mané Hellec,-3.180000066757202,47.70000076293945,0.46,2050999
SOUTHERN_BRITTANY,REPHY,Port Etel,-3.2100000381469727,47.65999984741211,0.44,2057665
SOUTHERN_BRITTANY,REPHY,Kerdonis,-3.059999942779541,47.310001373291016,0.43,2116020
SOUTHERN_BRITTANY,REPHY,Citadelle,-3.1500000953674316,47.349998474121094,0.24,2109346
SOUTHERN_BRITTANY,REPHY,Men er Roue,-3.0899999141693115,47.529998779296875,0.6,2079344
SOUTHERN_BRITTANY,REPHY,Le Lac,-3.0299999713897705,47.61000061035156,0.39,2066012
SOUTHERN_BRITTANY,REPHY,Méaban,-2.940000057220459,47.5099983215332,0.61,2082688
SOUTHERN_BRITTANY,REPHY,Les Boureseaux,-2.940000057220459,47.54999923706055,0.4,2076020
SOUTHERN_BRITTANY,REPHY,Karrec Rouz Eau,-2.984999895095825,47.56999969482422,0.4,2072683
SOUTHERN_BRITTANY,REPHY,Kerivaud,-2.940000057220459,47.58000183105469,0.51,2071019
SOUTHERN_BRITTANY,REPHY,Le Perick,-2.880000114440918,47.59000015258789,0.4,2069356
SOUTHERN_BRITTANY,REPHY,Creizic,-2.865000009536743,47.58000183105469,0.4,2071024
SOUTHERN_BRITTANY,REPHY,Creizic 2,-2.865000009536743,47.58000183105469,0.15,2071024
SOUTHERN_BRITTANY,REPHY,La Turballe,-2.5199999809265137,47.349998474121094,0.47,2109388
SOUTHERN_BRITTANY,REPHY,Piriac sémaphore,-2.565000057220459,47.369998931884766,0.61,2106051
SOUTHERN_BRITTANY,REPHY,Le Marescle,-2.490000009536743,47.459999084472656,0.62,2091053
SOUTHERN_BRITTANY,REPHY,Ouest Loscolo,-2.5350000858306885,47.459999084472656,0.36,2091050
SOUTHERN_BRITTANY,REPHY,Port au Loup,-2.5350000858306885,47.38999938964844,0.48,2102719
SOUTHERN_BRITTANY,REPHY,Ile Dumet (a),-2.5950000286102295,47.41999816894531,0.38,2097714
SOUTHERN_BRITTANY,REPHY,Pointe du Bile,-2.490000009536743,47.439998626708984,0.18,2094387
SOUTHERN_BRITTANY,REPHY,Pointe Castelli,-2.565000057220459,47.380001068115234,0.44,2104384
SOUTHERN_BRITTANY,REPHY,Pont Mahé Eau,-2.4749999046325684,47.43000030517578,0.4,2096055
SOUTHERN_BRITTANY,REPHY,Penerf,-2.609999895095825,47.52000045776367,0.7,2081043
SOUTHERN_BRITTANY,REPHY,Pointe er Fosse Eau,-2.640000104904175,47.5099983215332,0.2,2082708
SOUTHERN_BRITTANY,REPHY,Le Halguen,-2.490000009536743,47.5,0.24,2084385
SOUTHERN_BRITTANY,REPHY,Le Scal,-2.444999933242798,47.4900016784668,0.54,2086055
SOUTHERN_BRITTANY,REPHY,Trehiguier,-2.444999933242798,47.4900016784668,0.65,2086055
SOUTHERN_BRITTANY,REPHY,Kervoyal Eau,-2.5199999809265137,47.5099983215332,0.58,2082716
SOUTHERN_BRITTANY,REPHY,Pointe Pen Bé,-2.4600000381469727,47.41999816894531,0.15,2097723
SOUTHERN_BRITTANY,REPHY,Le Croisic (a),-2.5199999809265137,47.29999923706055,0.44,2117723
SOUTHERN_BRITTANY,REPHY,Pointe de Chemoulin (a),-2.2950000762939453,47.22999954223633,0.52,2129407
SOUTHERN_BRITTANY,REPHY,Port Lin,-2.505000114440918,47.279998779296875,0.53,2121058
SOUTHERN_BRITTANY,REPHY,Bonne Source,-2.3399999141693115,47.25,0.27,2126070
SOUTHERN_BRITTANY,REPHY,Beauvoir - le Gois,-2.115000009536743,46.93000030517578,0.26,2179429
SOUTHERN_BRITTANY,REPHY,Coupelasse-Fiol,-2.0399999618530273,47.02000045776367,0.43,2164431
SOUTHERN_BRITTANY,REPHY,Gresseloup,-2.130000114440918,46.95000076293945,0.54,2176094
SOUTHERN_BRITTANY,REPHY,Bois de la Chaise (a),-2.2049999237060547,47,0.65,2167754
SOUTHERN_BRITTANY,REPHY,Claire Durand,-1.9950000047683716,47.060001373291016,0.19,2157766
SOUTHERN_BRITTANY,REPHY,La Guérinière,-2.234999895095825,46.970001220703125,0.63,2172753
SOUTHERN_BRITTANY,REPHY,Ile d'Yeu,-2.3399999141693115,46.720001220703125,0.27,2214421
SOUTHERN_BRITTANY,REPHY,Frandière,-2.174999952316284,46.91999816894531,0.41,2181092
SOUTHERN_BRITTANY,REPHY,Ile d'Yeu est,-2.2950000762939453,46.709999084472656,0.13,2216091
SOUTHERN_BRITTANY,REPHY,La Sablaire,-2.325000047683716,46.72999954223633,0.12,2212755
SOUTHERN_BRITTANY,REPHY,Dunes de Brétignolles,-1.8450000286102295,46.59000015258789,0.18,2236125
BAY_OF_BISCAY,REPHY,Remblai,-1.784999966621399,46.4900016784668,0.16,2252799
BAY_OF_BISCAY,REPHY,La Cotinière,-1.3200000524520874,45.90999984741211,0.48,2349516
BAY_OF_BISCAY,REPHY,Fosse Loix,-1.409999966621399,46.22999954223633,0.31,2296166
BAY_OF_BISCAY,REPHY,La Passe des Esnandais (terre),-1.3200000524520874,46.29999923706055,0.53,2284503
BAY_OF_BISCAY,REPHY,L'Eperon (terre),-1.2450000047683716,46.27000045776367,0.39,2289509
BAY_OF_BISCAY,REPHY,La Carrelère,-1.2000000476837158,46.22999954223633,0.01,2296180
BAY_OF_BISCAY,REPHY,Baie d'Yves (a),-1.1100000143051147,46.02000045776367,0.36,2331193
BAY_OF_BISCAY,REPHY,Ile d'Aix,-1.1549999713897705,46.02000045776367,0.44,2331190
BAY_OF_BISCAY,REPHY,Le Cornard,-1.125,46.060001373291016,0.69,2324524
BAY_OF_BISCAY,REPHY,Bouée des palles,-1.1549999713897705,45.9900016784668,0.45,2336191
BAY_OF_BISCAY,REPHY,Boyard,-1.215000033378601,45.970001220703125,0.53,2339521
BAY_OF_BISCAY,REPHY,St Froult,-1.125,45.91999816894531,0.21,2347862
BAY_OF_BISCAY,REPHY,Le Chapus (a),-1.184999942779541,45.849998474121094,0.61,2359527
BAY_OF_BISCAY,REPHY,Auger,-1.2000000476837158,45.79999923706055,0.41,2367861
BAY_OF_BISCAY,REPHY,Teychan bis,-1.1549999713897705,44.66999816894531,0.49,2556235
